,Day,Trial,RWeight,RCompliance,RWidth,Object,NInitialWidthDifference,NEndingWidthDifference,NSWidth,NWidthDifference,NForce
95,2,14,3,3,1,j,0.048497786,0.038299081,0.961009126,0.019340797,0.927911397
96,2,15,2,2,3,k,0.054343056,0.02410109,0.476432137,0.017560059,0.91897241
97,2,16,3,1,1,g,0.332242748,0.174883754,0.581041288,0.317284704,0.927911397
98,2,17,3,2,1,j,0.092427084,0.045753026,0.993233507,0.059094132,0.91897241
99,2,18,1,1,1,w,0.850416949,0.722642246,0.580644488,1,0.588282325
100,2,19,3,2,3,l,0.044627539,0.03865403,0.143558257,0.016290458,0.903073596
101,2,20,3,3,3,4,0.08103579,0.279984382,0.884719003,0.158485713,0.105668786
102,2,21,1,1,1,7,0.103160037,0.075284847,0.89411691,0.081683128,0.155423029
103,2,22,1,3,3,8,0.03798428,0.131934831,0.504166406,0.054131148,0.123533652
104,2,23,2,1,1,w,0.748952639,0.74755972,0.672221874,0.927715214,0.507844551
105,2,24,1,1,3,5,0.103399433,0.697760267,0.527619406,0.371036621,0.177167573
106,2,25,1,3,1,2,0.562901488,0.797359174,0.603283002,0.79707827,0.069912838
107,2,26,2,2,1,w,0.764154331,0.448763,0.626986613,0.801480651,0.507844551
108,2,27,2,1,2,e,0.620695846,0.70904767,0.169893282,0.803821992,0.477947441
109,2,28,1,3,3,9,0.055121095,0.058424733,0.147463609,0.034147307,0.072023068
110,2,29,2,2,3,y,0.168914336,0.341248713,0.144184784,0.259575591,0.507870765
111,2,30,3,1,2,a,0.559390336,0.262130409,0.901990268,0.545548979,0.884514057
112,2,31,2,3,3,o,0.039540358,0.069854116,0.040181275,0.026579169,0.507870765
113,2,32,1,2,3,6,0.050452859,0.78692365,0.103982624,0.368695279,0.089298119
114,2,33,3,1,2,a,0.554642301,0.156461861,0.843117599,0.492555524,0.921423422
115,2,34,2,2,3,y,0.086402266,0.413622972,0.117975064,0.224999588,0.511658693
116,2,35,2,1,2,g,0.371424011,0.192063323,0.45398158,0.357648106,0.891421456
117,2,36,3,2,1,l,0.053185971,0.042487488,0.10972579,0.025128197,0.927111868
118,2,37,3,1,2,d,0.686549894,0.278706563,0.213123656,0.658345562,0.936024641
